"Site ID","Project Name","Location Name","Site Name","AP Site Code",ISP,Province,Municipality,Status,"Created At","Updated At","Created By"
1312,"PICS-PP Phase 2","Abaca Barangay Hall","Abaca Barangay Hall",PICS-PPph2-R02-227,PHILCOMSAT,"Nueva Vizcaya","Dupax Del Sur",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1313,"PICS-PP Phase 2","Abuyo Barangay Hall","Abuyo Barangay Hall",PICS-PPph2-R02-228,PHILCOMSAT,"Nueva Vizcaya","Alfonso Castañeda",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
941,"PICS GIDA via LEO Technology","Agguirit Elementary School","Agguirit Elementary School Faculty Building",GIDA-R2-019B,"We Are IT Philippines Inc.",Cagayan,Amulung,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
940,"PICS GIDA via LEO Technology","Agguirit Elementary School","Agguirit Elementary School Grade 6 Building",GIDA-R2-019A,"We Are IT Philippines Inc.",Cagayan,Amulung,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
1361,"PICS-PP Phase 2","Agta Community P/S","Agta Community P/S",PICS-PPph2-R02-276,PHILCOMSAT,Quirino,Maddela,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1314,"PICS-PP Phase 2","Alang-Salacsac Barangay Hall","Alang-Salacsac Barangay Hall",PICS-PPph2-R02-229,PHILCOMSAT,"Nueva Vizcaya",Kayapa,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1231,"PICS-PP Phase 2","Albano MDRRMO","Albano MDRRMO",PICS-PPph2-R02-148,PHILCOMSAT,Isabela,"Delfin Albano",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1232,"PICS-PP Phase 2","Albano Rural Health Unit","Albano Rural Health Unit",PICS-PPph2-R02-149,PHILCOMSAT,Isabela,"Delfin Albano",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
904,"PICS GIDA via LEO Technology","Alcala West Central School - Cataraoan Annex","Alcala West Central School - Cataraoan Annex GRADE 2",GIDA-R2-001A,"We Are IT Philippines Inc.",Cagayan,Alcala,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
905,"PICS GIDA via LEO Technology","Alcala West Central School - Cataraoan Annex","Alcala West Central School - Cataraoan Annex GRADE 6",GIDA-R2-001B,"We Are IT Philippines Inc.",Cagayan,Alcala,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
1042,"Emergency Procurement","Alfonso Castañeda MDRRMO","Alfonso Castañeda MDRRMO Grounds",SINAG-R2-050A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya","Alfonso Castañeda",REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1043,"Emergency Procurement","Alfonso Castañeda MDRRMO","Alfonso Castañeda MDRRMO Municipal Evacuation - Front",SINAG-R2-050B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya","Alfonso Castañeda",REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
966,"Emergency Procurement","Alfonso Ponce Enrile Memorial Hospital","Alfonso Ponce Enrile Memorial Hospital Building 1 - Lobby",SINAG-R2-012A,"IT BUSINESS SOLUTIONS",Cagayan,Gonzaga,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
967,"Emergency Procurement","Alfonso Ponce Enrile Memorial Hospital","Alfonso Ponce Enrile Memorial Hospital Building 2 - Hallway",SINAG-R2-012B,"IT BUSINESS SOLUTIONS",Cagayan,Gonzaga,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1283,"PICS-PP Phase 2","Alicia West Central School","Alicia West Central School",PICS-PPph2-R02-200,PHILCOMSAT,Isabela,Alicia,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1315,"PICS-PP Phase 2","Alimit Barangay Hall","Alimit Barangay Hall",PICS-PPph2-R02-230,PHILCOMSAT,"Nueva Vizcaya",Kasibu,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1234,"PICS-PP Phase 2","Alomanay Elementary School","Alomanay Elementary School",PICS-PPph2-R02-151,PHILCOMSAT,Isabela,Palanan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1044,"Emergency Procurement","Ambaguio MDRRMO","Ambaguio MDRRMO Front",SINAG-R2-051A,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Ambaguio,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1045,"Emergency Procurement","Ambaguio MDRRMO","Ambaguio MDRRMO Side",SINAG-R2-051B,"IT BUSINESS SOLUTIONS","Nueva Vizcaya",Ambaguio,REBATES,"2026-03-10 08:47:49","2026-03-10 08:47:49",5
1259,"PICS-PP Phase 2","Ambatali Barangay Hall","Ambatali Barangay Hall",PICS-PPph2-R02-176,PHILCOMSAT,Isabela,Ramon,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1316,"PICS-PP Phase 2","Amelong Labeng Barangay Hall","Amelong Labeng Barangay Hall",PICS-PPph2-R02-231,PHILCOMSAT,"Nueva Vizcaya",Kayapa,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1167,"PICS-PP Phase 2","Ammubuan Barangay Hall","Ammubuan Barangay Hall",PICS-PPph2-R02-084,PHILCOMSAT,Cagayan,Ballesteros,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
