"Ticket ID","Ticket Number",Subject,"Site Name",Province,Municipality,ISP,Project,"Created By",Status,Notes,"Created At","Updated At","Solved Date",Duration
32,F-SMART-2026-0018,"No NMS","Baculud National High School",Cagayan,Amulung,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",IN_PROGRESS,"03-31-2026 - Follow - Adler04-06-2026 - Follow up - Leynard","2026-03-31 10:24:15","2026-03-31 15:30:41",,306
33,F-SMART-2026-0019,"No NMS","Angadanan Municipal Terminal",Isabela,Angadanan,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-03-31 10:24:15","2026-03-31 15:30:57",,306
31,F-SMART-2026-0017,"No NMS","BAMSO (National Museum)",Batanes,Uyugan,PHILCOMSAT,"PICS-PP Phase 2","JANET T. CATINOY",OPEN,,"2026-03-31 10:24:14","2026-03-31 15:30:57",,306
28,F-SMART-2026-0014,"NMS is Down","Bagabag MDRRMO Front","Nueva Vizcaya",Bagabag,"IT BUSINESS SOLUTIONS","Emergency Procurement","JANET T. CATINOY",OPEN,,"2026-03-23 17:27:55","2026-03-31 15:30:57",,11403
29,F-SMART-2026-0015,"NMS is Down","Bambang MDRRMO Front","Nueva Vizcaya",Bambang,"IT BUSINESS SOLUTIONS","Emergency Procurement","JANET T. CATINOY",OPEN,,"2026-03-23 17:27:55","2026-03-31 15:30:57",,11403
30,F-SMART-2026-0016,"NMS is Down","Bambang MDRRMO Side (Covered Court)","Nueva Vizcaya",Bambang,"IT BUSINESS SOLUTIONS","Emergency Procurement","JANET T. CATINOY",OPEN,,"2026-03-23 17:27:55","2026-03-31 15:30:57",,11403
26,F-SMART-2026-0012,"Down na down","Ambaguio MDRRMO Front","Nueva Vizcaya",Ambaguio,"IT BUSINESS SOLUTIONS","Emergency Procurement","JANET T. CATINOY",OPEN,,"2026-03-17 17:35:21","2026-03-31 15:30:57",,20035
27,F-SMART-2026-0013,"Down na down","Alfonso Ponce Enrile Memorial Hospital Building 2 - Hallway",Cagayan,Gonzaga,"IT BUSINESS SOLUTIONS","Emergency Procurement","JANET T. CATINOY",RESOLVED,,"2026-03-17 17:35:21","2026-03-31 15:09:20","2026-03-31 15:09:20",20013
22,F-SMART-2026-0008,"Site is Down","Agguirit Elementary School Faculty Building",Cagayan,Amulung,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",CLOSED,,"2026-03-17 16:18:41","2026-03-24 16:43:49","2026-03-17 16:42:16",23
23,F-SMART-2026-0009,"Site is Down","Alcala West Central School - Cataraoan Annex GRADE 2",Cagayan,Alcala,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-03-17 16:18:41","2026-03-31 15:30:57",,20112
24,F-SMART-2026-0010,"Site is Down","Alcala West Central School - Cataraoan Annex GRADE 6",Cagayan,Alcala,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-03-17 16:18:41","2026-03-31 15:30:57",,20112
25,F-SMART-2026-0011,"Site is Down","Agguirit Elementary School Grade 6 Building",Cagayan,Amulung,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",OPEN,,"2026-03-17 16:18:41","2026-03-31 15:30:57",,20112
19,F-SMART-2026-0005,"NMS is Down","Alfonso Castañeda MDRRMO Grounds","Nueva Vizcaya","Alfonso Castañeda","IT BUSINESS SOLUTIONS","Emergency Procurement","RITO G. BANAN",IN_PROGRESS,,"2026-03-10 08:49:42","2026-03-31 15:30:57",,30641
20,F-SMART-2026-0006,"NMS is Down","Alfonso Castañeda MDRRMO Municipal Evacuation - Front","Nueva Vizcaya","Alfonso Castañeda","IT BUSINESS SOLUTIONS","Emergency Procurement","RITO G. BANAN",IN_PROGRESS,,"2026-03-10 08:49:42","2026-03-31 15:30:57",,30641
21,F-SMART-2026-0007,"NMS is Down","Alfonso Ponce Enrile Memorial Hospital Building 1 - Lobby",Cagayan,Gonzaga,"IT BUSINESS SOLUTIONS","Emergency Procurement","RITO G. BANAN",IN_PROGRESS,,"2026-03-10 08:49:42","2026-03-31 15:30:57",,30641
18,F-SMART-2026-0004,"NMS DOWN","Bicud Elementary School Grade 3 Building",Cagayan,Lal-lo,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",IN_PROGRESS,,"2026-03-09 11:59:26","2026-03-31 15:30:57",,31891
15,F-SMART-2026-0001,"NMS is Down","Agguirit Elementary School Faculty Building",Cagayan,Amulung,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",CLOSED,,"2026-03-06 14:40:39","2026-03-23 15:09:03","2026-03-11 13:42:03",7141
16,F-SMART-2026-0002,"NMS is Down","Agguirit Elementary School Grade 6 Building",Cagayan,Amulung,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",CLOSED,,"2026-03-06 14:40:39","2026-03-23 15:09:03","2026-03-11 13:34:04",7133
17,F-SMART-2026-0003,"NMS is Down","Alcala West Central School - Cataraoan Annex GRADE 2",Cagayan,Alcala,"We Are IT Philippines Inc.","PICS GIDA via LEO Technology","JANET T. CATINOY",CLOSED,,"2026-03-06 14:40:39","2026-03-23 15:09:03","2026-03-10 10:11:00",5490
